ID_Cod,Proprietario_Nome,Proprietario_DatasExtremas,Proprietario_Titulo,Proprietario_Titulo_DatasExtremas,TipoDoc,Descricao,Obra,AtribuicaoAlternatObra,Sinopse_Obra,ProbAtribObra,GenLit_Descricao,TradicaoIntelectual_Obra,AtribuicaoAlternatAutor,Nome_Autor,BioAbreviada_Autor,EstatutoAutor,NumCopias,OrigemGeografica_Autor,LocalNasc_Autor,Latitude_Autor,Longitude_Autor,LocalMorte_Autor,CatLit_Descricao,ProbAtribAutor,EpocaHistorica_Autor,DataNasc_Autor,DataMorte_Autor,Idioma,Forma,Suporte,DataProdOriginal_Obra,LugarProdOriginal_Obra,CopiasArquivisticas_Obra,EdicoesTextuais_Obra
AFO001,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Cantigas ,Em classificação,,Em classificação,Em classificação,Poesia lírica,Em classificação,,Dante Alighieri,Em classificação,Autor,1,Península Itálica,Florença,43° 46′ 18″ N,11° 15′ 21″ E,Ravena,Poesia,Em classificação,Baixa Idade Média (XIV-XV),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO002,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Tomás ,Em classificação,,Em classificação,Em classificação,Teologia,Em classificação,,Tomás de Aquino (Thomas Aquinas),Em classificação,Autor,1,Península Itálica,Roccasecca,41° 33′ 0″ N,13° 41′ 0″ E,Fossanova,Espiritualidade e religiosidade,Em classificação,Idade Média Central (XI-XIII),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO003,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,S. Gregório,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,"Gregório I, Papa",Em classificação,Autor,1,Península Itálica,Roma,41° 53′ 24″ N,12° 28′ 58″ E,Roma,Em classificação,Em classificação,Antiguidade Tardia (III-VIII),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO004,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Orósio,Em classificação,,Em classificação,Em classificação,Historiografia,Em classificação,,Paulo Orósio (Paulo Orosius),Em classificação,Autor,1,Península Ibérica,"Bracara Augusta, i.e. Braga",41° 32′ 0″ N,8° 25′ 0″ W,Hispânia,História,Em classificação,Antiguidade Tardia (III-VIII),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO005,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Marco Polo,Em classificação,,Em classificação,Em classificação,Viagens,Em classificação,,Marco Polo,Em classificação,Autor,1,Península Itálica,Veneza,45° 26′ 0″ N,12° 20′ 0″ E,Veneza,Técnica,Em classificação,Idade Média Central (XI-XIII),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO006,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Metamorfoses,Metamorfoses,,Em classificação,Em classificação,Poesia épica,Em classificação,,Ovídio (Publius Ovidius Naso),Em classificação,Autor,1,Península Itálica,Sulmona,42° 5′ 0″ N,13° 56′ 0″ E,"Tomi, i.e. Constanța",Poesia,Em classificação,Antiguidade Clássica (V aC-III),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO007,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Fedra,Fedra (Phaedra),,Em classificação,Em classificação,Tragédia,Em classificação,,Séneca (Lucius Annaeus Seneca),Em classificação,Autor,1,Península Ibérica,Córdova,37° 53′ 0″ N,4° 46′ 0″ W,Roma,Dramaturgia,Em classificação,Antiguidade Clássica (V aC-III),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO008,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Hipólito ,Hipólito,,Em classificação,Em classificação,Tragédia,Em classificação,,Séneca (Lucius Annaeus Seneca),Em classificação,Autor,1,Península Ibérica,Córdova,37° 53′ 0″ N,4° 46′ 0″ W,Roma,Dramaturgia,Em classificação,Antiguidade Clássica (V aC-III),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO009,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Lucas de Tui,Em classificação,,Em classificação,Em classificação,Em classificação,Em classificação,,Lucas de Tui,Em classificação,Autor,1,Península Ibérica (Galiza),Tui,42° 2′ 0″ N,8° 38′ 0″ W,Tui,Em classificação,Em classificação,Idade Média Central (XI-XIII),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
AFO010,D. Afonso V,1432-1481,Rei de Portugal,1438-1481,Crónicas,Cícero,Em classificação,,Em classificação,Em classificação,Filosofia,Em classificação,,Marco Túlio Cícero (Marcus Tullius Cicero),Em classificação,Autor,1,Península Itálica,Arpino,41° 38′ 0″ N,13° 36′ 0″ E,Formia,Filosofia e Artes liberais,Em classificação,Antiguidade Clássica (V aC-III),,,Em classificação,Em classificação,Em classificação,,,Em classificação,Em classificação
